2453
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
27	1
26	1
25	1
24	1
23	1
22	1
21	1
20	1
19	1
18	1
17	1
16	1
15	1
14	1
27	2
13	1
26	2
25	2
12	1
24	2
23	2
11	1
22	2
21	2
10	1
20	2
19	2
9	1
18	2
27	3
26	3
17	2
25	3
8	1
16	2
24	3
23	3
15	2
22	3
7	1
14	2
21	3
27	4
20	3
13	2
26	4
19	3
25	4
6	1
12	2
18	3
24	4
23	4
17	3
11	2
22	4
27	5
16	3
21	4
26	5
5	1
10	2
15	3
20	4
25	5
24	5
19	4
14	3
23	5
9	2
18	4
27	6
22	5
13	3
26	6
17	4
21	5
25	6
4	1
8	2
12	3
16	4
20	5
24	6
27	7
23	6
19	5
15	4
26	7
11	3
22	6
18	5
25	7
7	2
14	4
21	6
24	7
17	5
10	3
20	6
23	7
13	4
26	8
16	5
19	6
22	7
25	8
3	1
6	2
9	3
12	4
15	5
18	6
21	7
24	8
26	9
23	8
20	7
17	6
14	5
25	9
11	4
22	8
19	7
8	3
16	6
24	9
21	8
13	5
26	10
18	7
23	9
5	2
10	4
15	6
20	8
25	10
22	9
17	7
12	5
24	10
19	8
7	3
14	6
21	9
23	10
16	7
25	11
9	4
18	8
20	9
11	5
22	10
24	11
13	6
15	7
17	8
19	9
21	10
23	11
25	12
2	1
4	2
6	3
8	4
10	5
12	6
14	7
16	8
18	9
20	10
22	11
24	12
23	12
21	11
19	10
17	9
15	8
13	7
24	13
11	6
22	12
20	11
9	5
18	10
16	9
23	13
7	4
14	8
21	12
19	11
12	7
24	14
17	10
22	13
5	3
10	6
15	9
20	12
23	14
18	11
13	8
21	13
8	5
16	10
19	12
11	7
22	14
14	9
17	11
20	13
23	15
3	2
6	4
9	6
12	8
15	10
18	12
21	14
22	15
19	13
16	11
13	9
10	7
20	14
17	12
7	5
14	10
21	15
18	13
11	8
22	16
15	11
19	14
4	3
8	6
12	9
16	12
20	15
21	16
17	13
13	10
22	17
9	7
18	14
14	11
19	15
5	4
10	8
15	12
20	16
21	17
16	13
11	9
17	14
6	5
12	10
18	15
19	16
13	11
20	17
7	6
14	12
21	18
15	13
8	7
16	14
17	15
9	8
18	16
19	17
10	9
20	18
11	10
12	11
13	12
14	13
15	14
16	15
17	16
18	17
19	18
20	19
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
19	20
18	19
17	18
16	17
15	16
14	15
13	14
12	13
11	12
10	11
9	10
18	20
17	19
8	9
16	18
15	17
7	8
14	16
13	15
6	7
12	14
18	21
17	20
11	13
16	19
5	6
10	12
15	18
14	17
9	11
13	16
17	21
4	5
8	10
12	15
16	20
15	19
11	14
7	9
14	18
17	22
10	13
13	17
16	21
3	4
6	8
9	12
12	16
15	20
14	19
11	15
8	11
16	22
13	18
5	7
10	14
15	21
12	17
7	10
14	20
9	13
11	16
13	19
15	22
2	3
4	6
6	9
8	12
10	15
12	18
14	21
15	23
13	20
11	17
9	14
7	11
14	22
12	19
5	8
10	16
13	21
8	13
11	18
14	23
3	5
6	10
9	15
12	20
13	22
10	17
7	12
14	24
11	19
4	7
8	14
12	21
13	23
9	16
5	9
10	18
11	20
6	11
12	22
13	24
7	13
8	15
9	17
10	19
11	21
12	23
1	2
2	4
3	6
4	8
5	10
6	12
7	14
8	16
9	18
10	20
11	22
12	24
12	25
11	23
10	21
9	19
8	17
7	15
6	13
11	24
5	11
10	22
9	20
4	9
8	18
11	25
7	16
10	23
3	7
6	14
9	21
8	19
5	12
10	24
7	17
9	22
2	5
4	10
6	15
8	20
10	25
9	23
7	18
5	13
10	26
8	21
3	8
6	16
9	24
7	19
4	11
8	22
9	25
5	14
6	17
7	20
8	23
9	26
1	3
2	6
3	9
4	12
5	15
6	18
7	21
8	24
8	25
7	22
6	19
5	16
4	13
8	26
7	23
3	10
6	20
5	17
7	24
2	7
4	14
6	21
7	25
5	18
3	11
6	22
7	26
4	15
5	19
6	23
7	27
1	4
2	8
3	12
